A,B,C,D,E,F,G,H,I,J,K
80,90,100,0,100,0,91,18326,1,0,0
73,92,100,0,100,0,100,0,1,0,0
84,94,100,0,100,0,91,18890,1,0,0
79,96,100,0,100,0,91,18976,1,0,0
77,84,100,0,100,0,92,16403,1,0,0
80,98,100,0,100,0,96,8155,1,0,0
74,84,100,0,100,0,94,12346,1,0,0
84,94,100,0,100,0,77,47910,1,0,0
83,92,100,0,100,0,96,9106,1,0,0
83,92,100,0,100,0,84,33384,1,0,0
82,92,100,0,100,0,96,8631,1,0,0
77,84,100,0,100,0,96,9903,1,0,0
69,92,100,0,100,0,95,10908,1,0,0
77,97,100,0,100,0,93,14545,1,0,0
77,90,100,0,100,0,90,20057,1,0,0
83,96,100,0,100,0,100,0,1,0,0
84,94,100,0,100,0,97,7900,1,0,0
81,98,100,0,100,0,97,6682,1,0,0
84,98,100,0,100,0,39,123015,1,0,0
80,96,100,0,100,0,96,9197,1,0,0
83,93,100,0,100,0,97,6329,1,0,0
81,92,100,0,100,0,95,11978,1,0,0
83,95,100,0,100,0,97,6548,1,0,0
77,96,100,0,100,0,94,13786,1,0,0
81,90,100,0,100,0,87,26379,1,0,0
82,96,100,0,100,0,87,27151,1,0,0
77,95,100,0,100,0,92,16734,1,0,0
79,94,100,0,100,0,96,9107,1,0,0
82,88,100,0,100,0,30,141070,1,0,0
82,92,100,0,100,0,96,9795,1,0,0
80,94,100,0,100,0,96,8357,1,0,0
80,94,100,0,100,0,97,7635,1,0,0
83,88,100,0,100,0,75,50283,1,0,0
78,96,100,0,100,0,97,7877,1,0,0
74,90,100,0,100,0,77,47592,1,0,0
78,86,100,0,100,0,95,11816,1,0,0
83,90,100,0,100,0,64,73320,1,0,0
73,92,100,0,100,0,96,8516,1,0,0
80,92,100,0,100,0,97,7187,1,0,0
75,89,100,0,100,0,97,6727,1,0,0
83,92,100,0,100,0,96,9444,1,0,0
81,94,100,0,100,0,100,0,1,0,0
80,96,100,0,100,0,58,85693,1,0,0
75,94,100,0,100,0,83,35713,1,0,0
80,89,100,0,100,0,96,8294,1,0,0
83,90,100,0,100,0,94,13356,1,0,0
82,94,100,0,100,0,85,30285,1,0,0
82,84,100,0,100,0,70,60548,1,0,0
83,98,100,0,100,0,91,18544,1,0,0
82,85,100,0,100,0,97,6416,1,0,0
75,98,100,0,100,0,96,9491,1,0,0
78,98,100,0,100,0,40,120425,1,0,0
74,92,100,0,100,0,94,12595,1,0,0
75,92,100,0,100,0,1,223480,1,0,0
80,84,100,0,100,0,93,14705,1,0,0
79,95,100,0,100,0,80,41962,1,0,0
74,96,100,0,100,0,95,11654,1,0,0
83,91,100,0,100,0,89,23928,1,0,0
84,90,100,0,100,0,100,0,1,0,0
77,96,100,0,100,0,95,11491,1,0,0
81,85,100,0,100,0,88,25196,1,0,0
84,96,100,0,100,0,95,10010,1,0,0
76,94,100,0,100,0,98,5907,1,0,0
82,89,100,0,100,0,94,12975,1,0,0
82,85,100,0,100,0,97,7578,1,0,0
78,90,100,0,100,0,94,13066,1,0,0
72,94,100,0,100,0,97,6563,1,0,0
80,84,100,0,100,0,94,13299,1,0,0
79,92,100,0,100,0,96,8695,1,0,0
81,86,100,0,100,0,90,20157,1,0,0
74,94,100,0,100,0,97,7590,1,0,0
76,92,100,0,100,0,100,0,1,0,0
83,92,100,0,100,0,100,0,1,0,0
81,84,100,0,100,0,96,9306,1,0,0
82,84,100,0,100,0,96,8655,1,0,0
84,94,100,0,100,0,95,11240,1,0,0
71,92,100,0,100,0,97,7299,1,0,0
81,97,100,0,100,0,96,9390,1,0,0
82,94,100,0,100,0,97,6755,1,0,0
80,94,100,0,100,0,97,7702,1,0,0
72,94,100,0,100,0,97,7293,1,0,0
82,95,100,0,100,0,88,25831,1,0,0
83,94,100,0,100,0,94,12147,1,0,0
82,94,100,0,100,0,96,8979,1,0,0
76,84,100,0,100,0,71,58558,1,0,0
79,95,100,0,100,0,70,60442,1,0,0
83,92,100,0,100,0,88,24520,1,0,0
81,88,100,0,100,0,89,22788,1,0,0
79,86,100,0,100,0,98,4949,1,0,0
83,91,100,0,100,0,86,29267,1,0,0
83,97,100,0,100,0,100,0,1,0,0
81,85,100,0,100,0,96,9167,1,0,0
80,88,100,0,100,0,91,19624,1,0,0
82,85,100,0,100,0,97,7818,1,0,0
83,95,100,0,100,0,92,17823,1,0,0
83,84,100,0,100,0,95,10688,1,0,0
80,93,100,0,100,0,97,6794,1,0,0
84,84,100,0,100,0,97,7522,1,0,0
80,97,100,0,100,0,96,8545,1,0,0
84,92,100,0,100,0,98,5902,1,0,0
84,84,100,0,100,0,96,8254,1,0,0
70,98,100,0,100,0,100,0,1,0,0
83,92,100,0,100,0,95,11719,1,0,0
80,95,100,0,100,0,93,14852,1,0,0
84,96,100,0,100,0,95,10384,1,0,0
79,94,100,0,100,0,96,9302,1,0,0
84,95,100,0,100,0,97,7832,1,0,0
84,94,100,0,100,0,100,0,1,0,0
84,93,100,0,100,0,91,18263,1,0,0
76,94,100,0,100,0,97,7874,1,0,0
77,84,100,0,100,0,97,6373,1,0,0
84,94,100,0,100,0,84,32892,1,0,0
83,84,100,0,100,0,93,15004,1,0,0
71,84,100,0,100,0,94,13536,1,0,0
78,84,100,0,100,0,96,8540,1,0,0
80,84,100,0,100,0,94,13585,1,0,0
84,96,100,0,100,0,96,8413,1,0,0
66,96,100,0,100,0,96,9986,1,0,0
84,96,100,0,100,0,95,10796,1,0,0
83,88,100,0,100,0,100,0,1,0,0
80,92,100,0,100,0,97,7010,1,0,0
83,85,100,0,100,0,80,41459,1,0,0
84,92,100,0,100,0,96,8258,1,0,0
84,90,100,0,100,0,86,29941,1,0,0
83,96,100,0,100,0,97,7437,1,0,0
84,96,100,0,100,0,95,11907,1,0,0
80,96,100,0,100,0,95,11723,1,0,0
83,94,100,0,100,0,94,13803,1,0,0
70,92,100,0,100,0,95,10877,1,0,0
82,90,100,0,100,0,93,14887,1,0,0
