A,B,C,D,E,F,G,H,I,J,K
69,89,100,0,100,0,97,6821,69,0,0
81,89,100,0,100,0,94,13940,81,0,0
72,89,100,0,100,0,95,11557,72,0,0
83,99,100,0,100,0,94,13140,83,0,0
82,95,100,0,100,0,98,4472,82,0,0
84,93,100,0,100,0,83,35871,84,0,0
81,95,100,0,100,0,97,7563,81,0,0
73,94,100,0,100,0,98,5375,73,0,0
74,96,100,0,100,0,94,13344,74,0,0
68,89,100,0,100,0,97,7403,68,0,0
83,96,100,0,100,0,95,11825,83,0,0
79,88,100,0,100,0,94,13566,79,0,0
82,95,100,0,100,0,99,3846,82,0,0
74,95,100,0,100,0,97,7305,74,0,0
80,91,100,0,100,0,96,9332,80,0,0
84,92,100,0,100,0,94,12697,84,0,0
83,91,100,0,100,0,90,20940,83,0,0
66,93,100,0,100,0,97,6720,66,0,0
84,89,100,0,100,0,97,6153,84,0,0
84,95,100,0,100,0,97,7099,84,0,0
77,95,100,0,100,0,95,10413,77,0,0
83,86,100,0,100,0,98,4045,1,0,0
81,89,100,0,100,0,95,11755,81,0,0
83,89,100,0,100,0,96,8776,83,0,0
68,91,100,0,100,0,77,47436,68,0,0
100,89,100,0,100,0,97,7578,100,0,0
81,96,100,0,100,0,95,11220,81,0,0
80,94,100,0,100,0,91,19872,80,0,0
83,99,100,0,100,0,100,404,83,0,0
78,94,100,0,100,0,92,16954,78,0,0
82,99,100,0,100,0,97,7746,82,0,0
83,96,100,0,100,0,63,75298,83,0,0
83,99,100,0,100,0,96,9699,83,0,0
83,89,100,0,100,0,97,6545,83,0,0
84,96,100,0,100,0,98,5791,84,0,0
82,94,100,0,100,0,95,10946,82,0,0
79,91,100,0,100,0,53,95815,79,0,0
83,95,100,0,100,0,97,6856,83,0,0
70,96,100,0,100,0,94,12669,1,0,0
82,92,100,0,100,0,92,17888,82,0,0
80,95,100,0,100,0,95,10252,80,0,0
76,92,100,0,100,0,97,7473,76,0,0
82,96,100,0,100,0,96,8685,82,0,0
83,89,100,0,100,0,93,14054,83,0,0
81,92,100,0,100,0,95,11591,81,0,0
82,98,100,0,100,0,97,6321,82,0,0
76,92,100,0,100,0,94,12702,76,0,0
83,92,100,0,100,0,85,30029,83,0,0
70,99,100,0,100,0,87,27524,70,0,0
80,98,100,0,100,0,98,5883,80,0,0
82,95,100,0,100,0,98,5949,82,0,0
81,92,100,0,100,0,99,3323,81,0,0
78,89,100,0,100,0,97,6739,78,0,0
80,95,100,0,100,0,95,11700,80,0,0
81,93,100,0,100,0,93,14847,1,0,0
74,86,100,0,100,0,97,6555,1,0,0
80,98,100,0,100,0,96,8727,1,0,0
82,96,100,0,100,0,94,12713,1,0,0
82,88,100,0,100,0,97,7989,1,0,0
78,84,100,0,100,0,95,11271,1,0,0
81,96,100,0,100,0,88,24402,1,0,0
78,98,100,0,100,0,98,5968,78,0,0
82,96,100,0,100,0,93,15798,82,0,0
83,90,100,0,100,0,90,20283,1,0,0
83,93,100,0,100,0,1,324281,83,0,0
79,94,100,0,100,0,91,18015,79,0,0
80,92,100,0,100,0,94,13433,1,0,0
81,91,100,0,100,0,96,8638,81,0,0
81,95,100,0,100,0,97,7055,1,0,0
81,95,100,0,100,0,96,8253,81,0,0
83,96,100,0,100,0,96,9466,83,0,0
77,95,100,0,100,0,98,5211,77,0,0
82,96,100,0,100,0,96,8700,82,0,0
77,94,100,0,100,0,94,12312,77,0,0
82,98,100,0,100,0,96,9070,82,0,0
78,99,100,0,100,0,97,6575,78,0,0
